CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
51.192.125/0001-00;2026-01-01;2;2026-01-30;1218;1215;0;0;0;0;0;0;0;0;0;0;2;1;0;0;106905894.8;106690858.48;10387333;10.271247;0.001108;0;0;0;0;0
51.226.569/0001-00;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;46415641.67;46231735.45;14183.1882;3259.61517241941;0.003978;0;-0.000389;-0.000389;0;0
51.226.569/0001-00;2026-02-01;1;2026-02-27;1;;;;;;;;;;;;;1;;;46415641.44;46213735.22;14183.18828975;3258.346027416;0.004369;0;-0.000389;-0.000389;0;0
51.294.441/0001-84;2026-01-01;2;2026-01-30;10988;;;;;;;;;;;;;;;;397272579.4;393195721.4;3857359;101.933919399257;0.0008;0.0001;1.6705;0.7317;0.9388;0
51.295.092/0001-15;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;25355480.22;7428671.32;4774.48535096;1555.9103806877;0.001;0;-0.143831;-0.143831;0;0
51.303.221/0001-70;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;7024293.63;7013932.37;665860124003991;1.05336423028659E-08;0;0;0;0;0;0
51.303.221/0001-70;2026-02-01;1;2026-02-27;1;;;;;;;;;;;;;1;;;7024263.75;7013409.1;667550124003991;1.05061909927202E-08;0.000916447323741602;0;0;0;0;0
51.326.818/0001-30;2026-01-01;1;2026-01-30;2;0;0;;;;;;;;;;1;1;;;48505476.93;33797059.36;32000;1056.158105;0.000204;0;0.0086854;0.0002854;0.0084;0
51.381.999/0001-05;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;11039008.11;10887008.11;6798.5813;1601.36470089723;0.001745;0;-0.001742;-0.001742;0;0
51.385.048/0001-04;2026-01-01;1;2026-01-30;1125;;;;;;;;;;;;;;;;233989052.73;233223715.27;211547;1102.46760894742;0.001453;0;0.023072;0.023072;0;0
