CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
50.352.284/0001-53;2026-01-01;1;8597191.23;0;8613263.83;0;-16072.6;228281151.82;0;0;0;0;0;0;0;0;0;0;0;;0;0;898619.17;0;0;0;0;0;0;;227382532.65;0;;0;0;0;59363.84;0;0;59363.84;0;262850.09;0;0;0;0;0;0;0;884749.43;1147599.52
50.375.550/0001-63;2026-01-01;1;133861.11;2000;0;0;131861.11;6214628.33;4722964.64;4072889.64;0;0;650075;0;0;0;0;0;0;;0;0;0;0;1491663.69;0;0;0;0;;0;0;;0;0;0;5370000;0;5370000;0;0;47795.29;0;0;0;0;0;0;0;667472.57;715267.86
50.375.550/0001-63;2026-02-01;1;126024.79;126024.79;0;0;0;6221591.32;4722964.64;0;4722964.64;0;0;0;0;0;0;0;0;;0;0;0;0;1498626.68;0;0;0;0;;0;0;;0;0;0;5370000;0;5370000;0;0;48156.33;0;0;0;0;0;0;0;684333.44;732489.77
50.385.179/0001-10;2026-01-01;1;11494981.69;0;0;0;11494981.69;273725033.45;0;0;0;0;0;0;0;0;0;0;0;;0;0;14231678.63;0;0;0;0;0;0;;259493354.82;0;;0;0;0;3600662.87;0;0;3600662.87;2850000;297275.86;0;0;0;0;0;0;0;278160.84;3425436.7
50.399.189/0001-05;2026-01-01;1;6204790.13;79.95;0;0;6204710.18;71850010.44;71850010.44;0;0;0;71850010.44;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2805027.78;0;0;2805027.78;0;19382.47;0;0;0;0;0;0;0;8387565.25;8406947.72
50.479.122/0001-80;2026-01-01;2;295860058.71;0;0;255570491.14;40289567.57;1458990489.57;1458990489.57;0;1458990489.57;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;287990958.33;13812736.82;270904000;3274221.51;0;1053176.17;0;614379272.26;0;0;0;0;0;4843386.45;620275834.88
50.492.450/0001-17;2026-01-01;1;1732353.05;281.39;0;0;1732071.66;228449000;228449000;0;228449000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1629337.7;1495562.47;0;133775.23;681787.79;27396.88;0;0;0;0;178683257.8;0;0;246060.83;179638503.3
50.522.058/0001-73;2026-01-01;1;24876714.95;0;24644450.61;0;232264.34;62617293.1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;45398016;0;0;;0;0;;17219277.1;0;0;0;0;0;0;0;143963.66;0;0;0;0;0;0;0;34828.56;178792.22
50.555.700/0001-10;2026-01-01;1;1494546.08;72.08;;;1494474;38915082.72;0;;;;;;;;;;;;;;;;;;;;;;38915082.72;;;;;;258394.02;;;258394.02;;;;;;;;;;3894.8;3894.8
50.659.134/0001-97;2026-01-01;1;5591334.27;116.48;0;0;5591217.79;1282748000;1282748000;0;1282748000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8894364.66;8639368.04;0;254996.62;4447472.7;27396.88;0;1031431718.3;0;0;0;0;0;647819.67;1036554407.55
50.686.473/0001-62;2026-01-01;1;1316648.99;0;0;0;1316648.99;35219906.62;3100000;0;0;0;0;3100000;0;0;0;0;0;;0;0;0;0;0;0;32119906.62;0;0;;0;0;;0;0;0;0;0;0;0;0;16550.55;1634630.16;0;0;0;0;0;0;67679;1718859.71
50.701.686/0001-16;2026-01-01;2;8131539.07;0;0;0;8131539.07;1190729765.12;201790356.84;0;201790356.84;0;0;0;0;16203346.14;0;0;0;;0;0;576057569.18;0;0;0;0;0;0;;0;0;;396678492.96;0;0;1596385.32;0;0;1596385.32;0;247957.71;0;101331637.66;0;0;144525450.77;0;0;278207.68;246383253.82
50.716.077/0001-30;2026-01-01;1;25669.48;0;0;0;25669.48;103.07;0;0;0;0;0;0;0;0;0;0;0;;0;0;103.07;0;0;0;0;0;0;;0;0;;0;0;0;2748.32;0;0;2748.32;0;41559.36;0;0;0;0;0;0;0;3305.94;44865.3
50.718.891/0001-94;2026-01-01;1;944557.32;0;0;0;944557.32;263938603.05;0;0;0;0;0;0;0;0;0;0;0;;0;0;263938603.05;0;0;0;0;0;0;;0;0;;0;0;0;505.61;0;0;505.61;0;63730.31;0;0;0;0;0;0;0;86682.39;150412.7
50.718.976/0001-72;2026-01-01;1;507286.14;0;0;0;507286.14;238889293.44;0;0;0;0;0;0;0;0;0;0;0;;0;0;238889293.44;0;0;0;0;0;0;;0;0;;0;0;0;3008.03;0;0;3008.03;0;26390.86;0;0;0;0;0;0;0;5211.17;31602.03
50.750.438/0001-65;2026-01-01;1;1669629.88;0;0;0;1669629.88;331254541.73;14870000;0;0;0;0;14870000;0;0;0;0;0;;0;0;157948484.88;8154505.17;0;0;12726957.89;0;0;;137554593.79;0;;0;0;0;3597511.05;0;0;3597511.05;0;344563.96;0;0;0;0;0;0;0;5693029.79;6037593.75
50.808.042/0001-21;2026-01-01;1;4514714.37;0;0;0;4514714.37;469776783.3;469776783.3;0;469776783.3;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1778589.71;1738488.57;0;40101.14;0;39653.78;0;0;0;0;0;0;0;81370.91;121024.69
50.876.919/0001-11;2026-01-01;1;2470612.62;863.91;2469748.71;0;0;9800000;3750000;0;0;0;0;3750000;0;0;0;0;0;;0;0;0;0;0;0;6050000;0;0;;0;0;;0;0;0;1087.6;0;0;1087.6;0;24138.71;0;0;0;0;0;0;0;212189.76;236328.47
50.918.320/0001-01;2026-01-01;1;89003.89;1000;0;0;88003.89;55320000;55320000;0;55320000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;106.96;0;0;106.96;0;9097.55;0;0;0;0;0;0;0;20094.17;29191.72
50.939.923/0001-81;2026-01-01;1;0;0;0;0;0;12630552;12630552;0;12630552;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7500;0;0;7500;0;67500;0;0;0;0;0;0;0;121500;189000
50.940.230/0001-09;2026-01-01;1;87.2;87.2;0;0;0;8083717.28;8083717.28;0;8083717.28;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;68000;0;0;0;0;0;0;0;76000;144000
50.957.247/0001-79;2026-01-01;1;1639915.59;4081.55;;;1635834.04;758186644.82;758186644.82;127378819.96;468543649.47;162264175.39;;;;;;;;;;;;;;;;;;;;;;;;;4489901.54;4456443.99;;33457.55;;108219.91;;19325000;;;;;;472624.14;19905844.05
51.067.062/0001-51;2026-01-01;1;18910661.87;16080332.81;2737021.08;0;93307.98;749806999.53;749806999.53;0;749806999.53;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;36636000;36636000;0;0;16350000;49951.17;0;183256666.75;0;0;0;0;0;0;199708851.09
51.192.125/0001-00;2026-01-01;2;2453533.41;0;0;0;2453533.41;104229435.74;0;0;0;0;0;0;0;1881139.94;0;0;0;;0;0;0;0;0;0;0;0;0;;102348295.8;0;;0;0;0;222925.65;0;0;222925.65;0;118174.61;0;0;0;0;0;0;0;96861.71;215036.32
51.226.569/0001-00;2026-01-01;1;0;0;0;0;0;46415641.67;46415401;0;0;0;46415401;0;0;0;0;0;0;;0;0;0;0;240.67;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;183906.22;0;0;0;0;0;0;0;0;183906.22
51.226.569/0001-00;2026-02-01;1;0;0;0;0;0;46415641.44;46415401;0;0;0;46415401;0;0;0;0;0;0;;0;0;0;0;240.44;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;201906.22;0;0;0;0;0;0;0;0;201906.22
51.294.441/0001-84;2026-01-01;2;23183734.76;46630.47;23137104.29;;;374051781.1;0;;;;;;;;;;;;;;20645449.34;;;;;;;;353406331.76;;;;;;37063.54;;;37063.54;3664491.05;308959.15;;;;;;;;103407.8;4076858
51.295.092/0001-15;2026-01-01;1;125507.48;215.75;0;0;125291.73;25229972.74;25118322.74;0;25118322.74;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;111650;0;0;;0;0;;0;0;0;0;0;0;0;0;7443.1;0;0;0;0;0;0;0;17919365.8;17926808.9
51.303.221/0001-70;2026-01-01;1;293.63;293.63;0;0;0;7024000;7024000;6454000;570000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;6135.27;0;0;0;0;0;0;0;4225.99;10361.26
51.303.221/0001-70;2026-02-01;1;263.75;263.75;0;0;0;7024000;7024000;6454000;570000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;6427.42;0;0;0;0;0;0;0;4427.23;10854.65
51.326.818/0001-30;2026-01-01;1;185410.43;1000;0;0;184410.43;48320000;0;0;0;0;0;0;0;0;0;0;0;;0;0;48320000;0;0;0;0;0;0;;0;0;;0;0;0;66.5;0;0;66.5;0;6911.45;0;0;0;0;0;0;0;14701506.12;14708417.57
51.381.999/0001-05;2026-01-01;1;70.52;70.52;0;0;0;11038937.59;11038937.59;0;11038937.59;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;152000;0;0;0;0;0;0;0;0;152000
51.385.048/0001-04;2026-01-01;1;9562861.17;0;0;0;9562861.17;223704880.06;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;223704880.06;0;0;;0;0;;0;0;0;721311.5;0;0;721311.5;0;403689.69;0;0;0;0;0;0;0;361647.77;765337.46
51.385.174/0001-50;2026-01-01;1;3429526.29;2000;;;3427526.29;21877672.63;0;;;;;;;;;;;;;;;;;;;21877672.63;;;;;;;;;1991038.6;;;1991038.6;;40504.05;;;;;;;;3038663.64;3079167.69
51.392.366/0001-94;2026-01-01;1;167248.82;0;0;0;167248.82;26119226.79;26118752.53;0;26118752.53;0;0;0;0;474.26;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5386.57;0;0;5386.57;0;106645.94;0;0;0;0;0;0;0;126288.84;232934.78
51.407.683/0001-37;2026-01-01;1;0;0;0;0;0;16803802.46;16803802.34;0;16803802.34;0;0;0;0;0;0;0;0;;0;0;0;0;0.12;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;152000;0;0;0;0;0;0;0;0;152000
51.407.683/0001-37;2026-02-01;1;0;0;0;0;0;16803802.46;16803802.34;0;16803802.34;0;0;0;0;0;0;0;0;;0;0;0;0;0.12;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;171000;0;0;0;0;0;0;0;0;171000
51.413.518/0001-98;2026-01-01;1;14989.97;1000;0;0;13989.97;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;50.11;0;0;50.11;0;13500;0;0;0;0;0;0;0;32349.92;45849.92
51.416.131/0001-95;2026-01-01;1;126.8;126.8;0;0;0;29225261.37;29223863;0;29223863;0;0;0;0;0;0;0;0;;0;0;0;0;1398.37;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;171000;0;0;0;0;0;0;0;20000000;20171000
